;Id;Метро;Расстояние до метро;Время до метро;Улица;Дом;Стены;Комнат;Общая площадь;Жилая площадь;Кухня;Этаж;Этажность;Лифт (пасс.);Лифт (груз.);Балкон;Лоджия;С/у (разд.);С/у (совм.);lng;lat;Цена (руб.);валюта цены;Новостройка
456;2560674;Электрозаводская;197;3;Семеновская набережная;3/1К6;кирпич;3;92.3;62.1;11.0;2;10;2;0;0;0;1;0;55.780294;37.705535;16,200,000;2;0
457;2563800;Маяковская;615;9;Долгоруковская улица;5;кирпич;2;44.0;28.0;7.0;3;7;1;0;0;0;1;0;55.773241000000006;37.603657;12,500,000;2;0
458;2564897;Новые черемушки;821;12;улица Архитектора Власова;22;не заполнено;3;155.0;65.0;45.0;8;15;2;1;0;2;0;2;55.669945;37.542770000000004;83,920,256;1;0
459;2565266;Комсомольская;661;10;1-й Басманный переулок;5/20С1;кирпич;3;61.0;44.0;6.0;1;5;0;0;0;0;1;0;55.77206700000001;37.663162;11,000,000;2;0
460;2567290;Университет;134;2;Ломоносовский проспект;25к1;не заполнено;6;280.0;110.0;20.0;11;17;1;1;0;0;2;2;55.693591000000005;37.532439000000004;308,435,520;1;0
461;2567375;Текстильщики;892;13;улица Малышева;3;кирпич;1;28.0;17.1;6.0;1;5;0;0;0;0;0;1;55.702729000000005;37.742178;5,300,000;2;0
462;2567380;Сходненская;575;9;улица Фабрициуса;22;панель;2;39.0;24.0;6.0;12;12;1;0;1;0;1;0;55.844181999999996;37.442437;6,390,000;2;0
463;2568628;Китай-город;776;12;Покровский бульвар;8С2;кирпич;6;200.0;200.0;0.0;3;5;0;0;1;0;3;0;55.756918000000006;37.646318;50,000,000;2;0
464;2570368;Выставочная;473;7;набережная Пресненская;8с1;монолит-кирпич;3;110.0;80.0;30.0;48;64;4;4;0;0;2;2;55.747226;37.538458;144,756,900;1;0
465;2571499;Университет;2536;38;Мичуринский проспект;6К1;не заполнено;3;153.0;87.0;25.0;12;16;2;2;0;0;2;0;55.715601;37.526268;96,504,600;1;0
466;2574789;Кутузовская;332;5;Студенческая улица;44/28;нет данных;4;92.0;72.0;9.0;3;9;2;0;1;0;1;0;55.738652;37.538206;25,599,000;2;0
467;2577876;Профсоюзная;272;4;улица Кржижановского;8К2;нет данных;2;55.0;36.0;9.0;5;5;0;0;1;0;1;0;55.681265;37.563161;10,900,000;2;0
